crime_id,criminal_id,criminal_name,gang_id,district,city,police_station,crime_type,latitude,longitude,date,severity,status
CR000001,C0001,Chandan Udupa,Gang_15,Uttara Kannada,Karwar,Bazar PS,Mobile Theft,14.586251,74.680516,2024-05-20,high,closed
CR000002,C0001,Chandan Udupa,Gang_15,Dakshina Kannada,Puttur,Puttur Traffic PS,Murder,13.039652,75.472141,2023-09-04,low,investigating
CR000003,C0001,Chandan Udupa,Gang_15,Chikkamagaluru,Tarikere,Tarikere PS,Chain Snatching,13.381426,75.566273,2024-01-21,low,open
CR000004,C0001,Chandan Udupa,Gang_15,Uttara Kannada,Bhatkal,Bhatkal Rural PS,Domestic Violence,15.035664,74.398696,2023-04-27,low,closed
CR000005,C0001,Chandan Udupa,Gang_15,Yadgir,Shahapur,Shahapur PS,Land Dispute,16.762308,77.301972,2024-03-18,medium,open
CR000006,C0001,Chandan Udupa,Gang_15,Ballari,Sandur,Toranagallu PS,Mobile Theft,14.846149,77.170417,2024-12-20,low,investigating
CR000007,C0001,Chandan Udupa,Gang_15,Udupi,Kundapura,Kundapura PS,Theft,13.587642,74.773102,2023-06-07,low,closed
CR000008,C0001,Chandan Udupa,Gang_15,Udupi,Kundapura,Gangolli PS,Theft,13.419812,74.624643,2024-06-16,high,open
CR000009,C0001,Chandan Udupa,Gang_15,Tumakuru,Tumakuru City,New Extension PS,Cybercrime,13.33739,77.109204,2023-07-24,medium,investigating
CR000010,C0001,Chandan Udupa,Gang_15,Chamarajanagar,Gundlupet,Gundlupet PS,Domestic Violence,11.866563,76.71319,2023-08-16,low,investigating
CR000011,C0001,Chandan Udupa,Gang_15,Chitradurga,Hiriyur,Hiriyur PS,Chain Snatching,13.950095,76.320682,2023-02-27,low,open
CR000012,C0001,Chandan Udupa,Gang_15,Ballari,Sandur,Toranagallu PS,Vehicle Theft,15.277963,77.196378,2024-02-08,low,investigating
CR000013,C0001,Chandan Udupa,Gang_15,Haveri,Haveri,Haveri Traffic PS,Murder,15.072843,75.502742,2023-06-25,low,open
CR000014,C0001,Chandan Udupa,Gang_15,Chamarajanagar,Gundlupet,Gundlupet PS,Chain Snatching,11.762185,76.884044,2024-01-22,medium,open
CR000015,C0001,Chandan Udupa,Gang_15,Hassan,Arsikere,Arsikere Town PS,Murder,13.294643,75.8371,2024-12-06,low,closed
CR000016,C0002,Arun Udupa,,Ballari,Hospet,Hospet Town PS,Assault,14.983232,76.890363,2023-09-21,low,investigating
CR000017,C0002,Arun Udupa,,Ramanagara,Ramanagara,Ramanagara Traffic PS,Domestic Violence,12.652725,77.244478,2024-05-04,medium,open
CR000018,C0002,Arun Udupa,,Vijayapura,Sindagi,Sindagi PS,Cybercrime,17.048382,75.58392,2023-11-14,medium,closed
CR000019,C0002,Arun Udupa,,Kodagu,Madikeri,Madikeri Rural PS,Murder,12.582977,75.626752,2023-06-08,low,closed
CR000020,C0002,Arun Udupa,,Raichur,Sindhanur,Sindhanur Rural PS,Fraud,16.326856,77.098152,2024-10-18,low,investigating
CR000021,C0002,Arun Udupa,,Shivamogga,Shivamogga City,Doddapete PS,Robbery,13.910685,75.727663,2024-09-15,low,open
CR000022,C0002,Arun Udupa,,Ramanagara,Ramanagara,Ramanagara PS,Burglary,12.810709,77.056167,2023-06-13,low,open
CR000023,C0002,Arun Udupa,,Chamarajanagar,Kollegal,Kollegal PS,Burglary,11.978914,76.929048,2023-08-15,medium,closed
CR000024,C0002,Arun Udupa,,Yadgir,Yadgir City,Yadgir City Town PS,Kidnapping,16.584757,77.185643,2024-04-19,low,open
CR000025,C0002,Arun Udupa,,Bidar,Basavakalyan,Basavakalyan PS,Theft,17.97397,77.374892,2023-05-11,low,investigating
CR000026,C0002,Arun Udupa,,Bengaluru Urban,Yelahanka,Yelahanka PS,Murder,13.100096,77.844888,2024-09-06,medium,closed
CR000027,C0002,Arun Udupa,,Kalaburagi,Jewargi,Yadrami PS,Fraud,17.555706,76.837534,2024-09-08,low,open
CR000028,C0002,Arun Udupa,,Bengaluru Rural,Nelamangala,Nelamangala Traffic PS,Theft,12.928397,77.257733,2024-02-20,low,closed
CR000029,C0002,Arun Udupa,,Vijayapura,Vijayapura City,Adarsh Nagar PS,Land Dispute,17.06474,75.750554,2023-08-26,low,investigating
CR000030,C0002,Arun Udupa,,Haveri,Haveri,Haveri Traffic PS,Theft,15.030415,75.232412,2023-07-07,low,closed
CR000031,C0002,Arun Udupa,,Dakshina Kannada,Sullia,Sullia Rural PS,Burglary,12.994502,75.19304,2023-06-05,low,closed
CR000032,C0002,Arun Udupa,,Dakshina Kannada,Sullia,Sullia Town PS,Land Dispute,12.929959,75.34816,2023-02-11,low,investigating
CR000033,C0002,Arun Udupa,,Kodagu,Somwarpet,Kushalnagar PS,Cybercrime,12.247798,75.551525,2023-09-18,low,closed
CR000034,C0002,Arun Udupa,,Bengaluru Urban,Whitefield,Kadugodi PS,Domestic Violence,12.764778,77.317275,2023-02-23,low,closed
CR000035,C0003,Girish Pandit,,Kolar,Bangarapet,Bangarapet PS,Domestic Violence,12.868004,78.325958,2023-03-03,medium,open
CR000036,C0003,Girish Pandit,,Bengaluru Rural,Nelamangala,Soladevanahalli PS,Domestic Violence,13.434712,77.315657,2023-05-13,high,closed
CR000037,C0003,Girish Pandit,,Bengaluru Urban,Whitefield,Varthur PS,Kidnapping,12.970733,77.327319,2024-08-25,low,investigating
CR000038,C0003,Girish Pandit,,Kalaburagi,Jewargi,Yadrami PS,Domestic Violence,17.298565,76.847071,2023-11-13,low,closed
CR000039,C0003,Girish Pandit,,Udupi,Karkala,Ajekar PS,Theft,13.079456,74.679642,2024-11-07,medium,open
CR000040,C0003,Girish Pandit,,Chamarajanagar,Gundlupet,Gundlupet Rural PS,Domestic Violence,11.960134,76.757026,2024-12-25,low,closed
CR000041,C0003,Girish Pandit,,Hassan,Sakleshpur,Sakleshpur Town PS,Land Dispute,13.165917,76.312706,2024-05-27,low,open
