criminal_id,name,age,home_state,home_district,district,gang_id
C0001,Chandan Udupa,26,Karnataka,Hassan,Hassan,Gang_15
C0002,Arun Udupa,49,Telangana,Dharwad,Dharwad,None
C0003,Girish Pandit,20,Karnataka,Koppal,Koppal,None
C0004,Yogesh Devadiga,30,Karnataka,Vijayapura,Vijayapura,None
C0005,Jagadish Shetty,34,Karnataka,Bidar,Bidar,None
C0006,Ravi Shettigar,40,Karnataka,Shivamogga,Shivamogga,Gang_38
C0007,Manoj Poojary,34,Karnataka,Bengaluru Rural,Bengaluru Rural,None
C0008,Gautham Devadiga,28,Telangana,Shivamogga,Shivamogga,None
C0009,Amith Rai,60,Karnataka,Belagavi,Belagavi,None
C0010,Raghav Shetty,46,Karnataka,Belagavi,Belagavi,None
C0011,Shankar Shet,29,Karnataka,Shivamogga,Shivamogga,None
C0012,Mukesh Shanbhag,54,Karnataka,Bidar,Bidar,None
C0013,Mahesh Reddy,57,Karnataka,Dharwad,Dharwad,Gang_26
C0014,Ravi Pujari,44,Karnataka,Bidar,Bidar,Gang_12
C0015,Jagannath Devadiga,39,Karnataka,Bengaluru Urban,Bengaluru Urban,None
C0016,Manoj Gowda,50,Karnataka,Ballari,Ballari,None
C0017,Darshan Murthy,58,Maharashtra,Koppal,Koppal,None
C0018,Umesh Alva,47,Karnataka,Raichur,Raichur,None
C0019,Rajesh Nayak,43,Karnataka,Raichur,Raichur,None
C0020,Deepak Bollineni,37,Karnataka,Bidar,Bidar,Gang_40
C0021,Umesh Kamath,57,Karnataka,Mysuru,Mysuru,None
C0022,Darshan Bollineni,46,Karnataka,Raichur,Raichur,Gang_38
C0023,Ajay Acharya,56,Karnataka,Kalaburagi,Kalaburagi,Gang_17
C0024,Harish Rai,31,Karnataka,Raichur,Raichur,None
C0025,Nagaraj Shekar,23,Karnataka,Belagavi,Belagavi,Gang_16
C0026,Aditya Mallya,27,Telangana,Mysuru,Mysuru,None
C0027,Ramesh D'Souza,36,Karnataka,Kalaburagi,Kalaburagi,Gang_48
C0028,Shashank Shanbhag,27,Karnataka,Hassan,Hassan,Gang_20
C0029,Anil Shet,29,Karnataka,Raichur,Raichur,Gang_32
C0030,Abhishek Udupa,51,Kerala,Ballari,Ballari,None
C0031,Manjunath Shetty,20,Telangana,Bengaluru Rural,Bengaluru Rural,Gang_12
C0032,Mohan Udupa,59,Karnataka,Raichur,Raichur,Gang_18
C0033,Bharath Shetty,39,Karnataka,Shivamogga,Shivamogga,None
C0034,Naveen Shettigar,53,Karnataka,Hassan,Hassan,None
C0035,Deepak Alva,35,Karnataka,Koppal,Koppal,None
C0036,Shankar Shekar,33,Telangana,Shivamogga,Shivamogga,None
C0037,Santosh Naik,43,Karnataka,Koppal,Koppal,Gang_43
C0038,Pavan Rao,24,Karnataka,Koppal,Koppal,None
C0039,Hemant Bhat,23,Karnataka,Belagavi,Belagavi,None
C0040,Ravi Lobo,36,Karnataka,Shivamogga,Shivamogga,None
C0041,Gopal Suvarna,22,Karnataka,Bidar,Bidar,None
C0042,Aditya Verma,53,Karnataka,Mysuru,Mysuru,None
C0043,Harsha Sharma,27,Karnataka,Bengaluru Urban,Bengaluru Urban,None
C0044,Jagannath Kulkarni,22,Karnataka,Bengaluru Rural,Bengaluru Rural,None
C0045,Ajay Lobo,21,Karnataka,Dharwad,Dharwad,None
C0046,Raghav Pandit,25,Karnataka,Tumakuru,Tumakuru,Gang_25
C0047,Gopal Kulkarni,54,Karnataka,Hassan,Hassan,None
C0048,Abhishek Lobo,32,Karnataka,Vijayapura,Vijayapura,None
C0049,Ashok Gowda,24,Karnataka,Koppal,Koppal,None
C0050,Deepak Salian,38,Karnataka,Bidar,Bidar,Gang_15
C0051,Jagadish Kudva,27,Karnataka,Dharwad,Dharwad,None
C0052,Kiran Moily,24,Karnataka,Bengaluru Urban,Bengaluru Urban,Gang_23
C0053,Madan Kulkarni,51,Maharashtra,Vijayapura,Vijayapura,None
C0054,Sachin Kulkarni,33,Karnataka,Bengaluru Urban,Bengaluru Urban,Gang_1
C0055,Sharath Gowda,45,Karnataka,Bidar,Bidar,Gang_47
C0056,Varun D'Souza,27,Karnataka,Raichur,Raichur,None
C0057,Devraj Noronha,22,Telangana,Hassan,Hassan,None
C0058,Ravi Rao,22,Karnataka,Bidar,Bidar,Gang_47
C0059,Akash Verma,58,Andhra Pradesh,Raichur,Raichur,Gang_28
C0060,Karthik Murthy,25,Karnataka,Bidar,Bidar,None
C0061,Jagadish Bollineni,22,Karnataka,Shivamogga,Shivamogga,None
C0062,Abhishek Salian,49,Karnataka,Bidar,Bidar,None
C0063,Manoj Nayak,50,Karnataka,Hassan,Hassan,None
C0064,Tarun Nayak,23,Karnataka,Bengaluru Rural,Bengaluru Rural,Gang_19
C0065,Anand Bhat,31,Karnataka,Belagavi,Belagavi,Gang_4
C0066,Vikas Naik,21,Karnataka,Bengaluru Urban,Bengaluru Urban,Gang_28
C0067,Sandeep Ramesh,48,Telangana,Raichur,Raichur,Gang_22
C0068,Gopal Moily,25,Karnataka,Kodagu,Kodagu,Gang_9
C0069,Bharath Sharma,38,Karnataka,Shivamogga,Shivamogga,None
C0070,Srinivas Udupa,37,Karnataka,Bidar,Bidar,None
C0071,Gautham Shetty,43,Maharashtra,Hassan,Hassan,None
C0072,Srinivas D'Souza,59,Karnataka,Vijayapura,Vijayapura,None
C0073,Rohit D'Souza,27,Karnataka,Bengaluru Rural,Bengaluru Rural,None
C0074,Jagadish Rao,46,Karnataka,Raichur,Raichur,Gang_33
C0075,Nithin Shekar,25,Karnataka,Bengaluru Urban,Bengaluru Urban,None
C0076,Prakash D'Souza,24,Karnataka,Raichur,Raichur,None
C0077,Rakesh Kumar,44,Karnataka,Dharwad,Dharwad,None
C0078,Nithin Udupa,57,Karnataka,Dharwad,Dharwad,None
C0079,Darshan Shetty,23,Karnataka,Dharwad,Dharwad,None
C0080,Nithin Fernandes,33,Karnataka,Raichur,Raichur,None
C0081,Shashank Ramesh,57,Karnataka,Shivamogga,Shivamogga,None
C0082,Anand Bangera,40,Karnataka,Belagavi,Belagavi,None
C0083,Chethan D'Souza,24,Karnataka,Bidar,Bidar,None
C0084,Girish Moily,33,Karnataka,Koppal,Koppal,None
C0085,Manjunath Devadiga,45,Karnataka,Koppal,Koppal,None
C0086,Akash Rao,35,Karnataka,Shivamogga,Shivamogga,None
C0087,Pranav Hegde,36,Karnataka,Raichur,Raichur,None
C0088,Prakash Salian,38,Karnataka,Bidar,Bidar,None
C0089,Akash Acharya,28,Karnataka,Bidar,Bidar,None
C0090,Jagadish Moily,45,Karnataka,Kalaburagi,Kalaburagi,None
C0091,Gopal Joshi,51,Karnataka,Bengaluru Urban,Bengaluru Urban,Gang_5
C0092,Anoop Rai,56,Karnataka,Ballari,Ballari,None
C0093,Naveen Bhat,41,Karnataka,Ballari,Ballari,None
C0094,Vijay Kumar,22,Karnataka,Belagavi,Belagavi,None
C0095,Krishna Acharya,21,Maharashtra,Raichur,Raichur,None
C0096,Suresh Reddy,31,Karnataka,Koppal,Koppal,None
C0097,Shankar Verma,23,Karnataka,Bengaluru Urban,Bengaluru Urban,None
C0098,Pranav Kumar,26,Karnataka,Vijayapura,Vijayapura,None
C0099,Darshan Ramesh,59,Karnataka,Kalaburagi,Kalaburagi,None
C0100,Shankar Kudva,31,Karnataka,Kalaburagi,Kalaburagi,None
C0101,Chirag Suvarna,47,Telangana,Shivamogga,Shivamogga,None
C0102,Karthik Bhat,30,Telangana,Bengaluru Urban,Bengaluru Urban,Gang_18
C0103,Vijay Mendonca,55,Karnataka,Hassan,Hassan,Gang_16
C0104,Pavan Desai,35,Karnataka,Bidar,Bidar,None
C0105,Mohan Kunder,20,Maharashtra,Bengaluru Rural,Bengaluru Rural,None
C0106,Harsha Devadiga,45,Karnataka,Shivamogga,Shivamogga,Gang_47
C0107,Yash Bollineni,26,Kerala,Kodagu,Kodagu,Gang_1
C0108,Harish Salian,39,Karnataka,Belagavi,Belagavi,None
C0109,Mohan Ramesh,39,Karnataka,Bengaluru Urban,Bengaluru Urban,None
C0110,Ranjith Bangera,29,Karnataka,Bengaluru Urban,Bengaluru Urban,None
C0111,Ajay Rao,38,Karnataka,Koppal,Koppal,None
C0112,Darshan Pinto,25,Karnataka,Dharwad,Dharwad,None
C0113,Manjunath Lobo,45,Andhra Pradesh,Belagavi,Belagavi,None
C0114,Mithun Nayak,35,Karnataka,Vijayapura,Vijayapura,Gang_29
C0115,Mukesh Mendonca,59,Karnataka,Bidar,Bidar,Gang_47
C0116,Lohith Mendonca,37,Andhra Pradesh,Ballari,Ballari,None
C0117,Lohith D'Souza,29,Karnataka,Koppal,Koppal,None
C0118,Mohan Pandit,34,Karnataka,Bengaluru Urban,Bengaluru Urban,None
C0119,Deepak Kulkarni,48,Karnataka,Ballari,Ballari,None
C0120,Lokesh Rai,36,Karnataka,Ballari,Ballari,None
C0121,Ramesh Desai,46,Karnataka,Vijayapura,Vijayapura,None
C0122,Rakesh Hegde,37,Karnataka,Koppal,Koppal,None
C0123,Nagaraj Shanbhag,21,Karnataka,Bidar,Bidar,Gang_2
